_id,ltable_ID,rtable_ID,ltable_Title,ltable_ReleaseDate,ltable_Directors,ltable_Runtime,rtable_Title,rtable_ReleaseDate,rtable_Directors,rtable_Runtime,Match
25339,5657,613,Memories of the Sword,8/27/15 0:00,Heung-Sik Park,121 minutes,Memories of the Sword,8/13/15 0:00,Heung-Sik Park,121 minutes,1
25645,715,616,The Muppets,11/22/11 0:00,James Bobin,102 minutes,The Muppets,11/4/11 0:00,James Bobin,103 minutes,1
25710,6489,619,The Invitation,4/7/16 0:00,Karyn Kusama,100 minutes,The Invitation,3/13/15 0:00,Karyn Kusama,100 minutes,1
25937,1142,623,A Perfect Day,1/14/16 0:00,Fernando Leâ€”n de Aranoa,106 minutes,A Perfect Day,1/15/16 0:00,Fernando Leâ€”n de Aranoa,106 minutes,1
26252,440,629,Jupiter Ascending,2/5/15 0:00,"Andy Wachowski, Lana Wachowski",125 minutes,Jupiter Ascending,2/27/15 0:00,"Andy Wachowski, Lana Wachowski",124 minutes,1
26256,1479,631,Miss You Already,11/5/15 0:00,Catherine Hardwicke,112 minutes,Miss You Already,10/23/15 0:00,Catherine Hardwicke,112 minutes,1
26431,4071,634,The Assassin,10/15/15 0:00,Hsiao-hsien Hou,120 minutes,The Assassin,10/9/15 0:00,Hsiao-hsien Hou,105 minutes,1
26459,1966,635,Spare Parts,1/15/15 0:00,Sean McNamara,114 minutes,Spare Parts,1/16/15 0:00,Sean McNamara,83 minutes,1
26506,4465,636,Detention,4/12/12 0:00,"Joseph Kahn, Claudia Jurt, Peter Jurt",93 minutes,Detention,3/16/11 0:00,"Joseph Kahn, Claudia Jurt, Peter Jurt",93 minutes,1
26997,3456,647,Intruders,3/29/12 0:00,Juan Carlos Fresnadillo,100 minutes,Intruders,3/30/12 0:00,Juan Carlos Fresnadillo,100 minutes,1
27207,3805,655,The Diary Of A Teenage Girl,8/6/15 0:00,Marielle Heller,102 minutes,The Diary of a Teenage Girl,1/24/15 0:00,Marielle Heller,102 minutes,1
27335,7306,659,Night Train To Lisbon,12/5/13 0:00,Bille August,109 minutes,Night Train to Lisbon,12/6/13 0:00,Bille August,111 minutes,1
27678,860,666,The Voices,2/5/15 0:00,Marjane Satrapi,107 minutes,The Voices,1/19/14 0:00,Marjane Satrapi,101 minutes,1
27893,2417,668,Hungry Hearts,6/4/15 0:00,Saverio Costanzo,109 minutes,Hungry Hearts,6/5/15 0:00,Saverio Costanzo,109 minutes,1
27905,943,671,Whiplash,10/9/14 0:00,Damien Chazelle,106 minutes,Whiplash,10/10/14 0:00,Damien Chazelle,105 minutes,1
28119,3528,675,The One I Love,8/21/14 0:00,Charlie McDowell,91 minutes,The One I Love,8/8/14 0:00,Charlie McDowell,91 minutes,1
28181,5848,678,The Captive,12/8/14 0:00,Atom Egoyan,112 minutes,The Captive,12/12/14 0:00,Atom Egoyan,112 minutes,1
28396,7026,681,Return To Nim's Island,3/18/13 0:00,Brendan Maher,90 minutes,Return to Nim's Island,3/15/13 0:00,Brendan Maher,90 minutes,1
28398,338,682,Dark Places,8/6/15 0:00,Gilles Paquet-Brenner,114 minutes,Dark Places,7/29/15 0:00,Gilles Paquet-Brenner,113 minutes,1
28481,7213,684,What If,8/7/14 0:00,Michael Dowse,102 minutes,What If,8/8/14 0:00,Michael Dowse,93 minutes,1
28741,1043,688,The Angry Birds Movie,5/19/16 0:00,"Fergal Reilly, Clay Kaytis",95 minutes,The Angry Birds Movie,5/20/16 0:00,"Fergal Reilly, Clay Kaytis",95 minutes,1
29296,5996,695,The Adventurer: The Curse of the Midas Box,1/9/14 0:00,Jonathan Newman,98 minutes,The Adventurer: The Curse of the Midas Box,12/5/13 0:00,Jonathan Newman,99 minutes,1
29552,3865,698,Wolf Creek 2,5/15/14 0:00,Greg McLean,106 minutes,Wolf Creek 2,4/17/14 0:00,Greg McLean,106 minutes,1
29576,4372,701,Reasonable Doubt,1/16/14 0:00,"Peter Howitt, Peter P. Croudins",91 minutes,Reasonable Doubt,1/17/14 0:00,"Peter Howitt, Peter P. Croudins",91 minutes,1
29783,783,702,Kill for Me,"Dec 31,9999",Michael Greenspan,95 minutes,Kill for Me,2/12/13 0:00,Michael Greenspan,95 minutes,1
29975,4821,703,Pompeii,2/20/14 0:00,Paul W.S. Anderson,105 minutes,Pompeii,2/21/14 0:00,Paul W.S. Anderson,105 minutes,1
30226,2820,711,A Very Harold & Kumar Christmas,11/3/11 0:00,Todd Strauss-Schulson,91 minutes,A Very Harold & Kumar Christmas,11/4/11 0:00,Todd Strauss-Schulson,108 minutes,1
30281,465,712,I Give It a Year,8/8/13 0:00,Dan Mazer,97 minutes,I Give It a Year,2/10/13 0:00,Dan Mazer,97 minutes,1
30738,482,725,This Means War,2/13/12 0:00,McG,98 minutes,This Means War,2/17/12 0:00,McG,103 minutes,1
30880,5255,729,The Giver,8/14/14 0:00,Phillip Noyce,140 minutes,The Giver,8/11/14 0:00,Phillip Noyce,94 minutes,1
30955,4214,732,Honeymoon,9/11/14 0:00,Leigh Janiak,87 minutes,Honeymoon,9/12/14 0:00,Leigh Janiak,87 minutes,1
31108,4770,736,The Watch,7/26/12 0:00,Akiva Schaffer,101 minutes,The Watch,7/27/12 0:00,Akiva Schaffer,98 minutes,1
31419,5818,743,Some Velvet Morning,12/12/13 0:00,Neil LaBute,82 minutes,Some Velvet Morning,12/10/13 0:00,Neil LaBute,82 minutes,1
31471,515,746,Space Station 76,9/18/14 0:00,Jack Plotnick,94 minutes,Space Station 76,9/19/14 0:00,Jack Plotnick,94 minutes,1
31484,1125,747,Broken City,1/17/13 0:00,Allen Hughes,108 minutes,Broken City,1/18/13 0:00,Allen Hughes,109 minutes,1
31854,3942,752,Sharknado,8/2/13 0:00,Anthony C. Ferrante,90 minutes,Sharknado,7/11/13 0:00,Anthony C. Ferrante,86 minutes,1
32066,5187,756,Fed Up,5/8/14 0:00,Stephanie Soechtig,92 minutes,Fed Up,5/9/14 0:00,Stephanie Soechtig,92 minutes,1
32072,3554,757,The Impossible,12/20/12 0:00,J.A. Bayona,113 minutes,The Impossible,12/4/12 0:00,J.A. Bayona,113 minutes,1
32368,4804,762,The Peanuts Movie,11/5/15 0:00,Steve Martino,92 minutes,The Peanuts Movie,10/19/15 0:00,Steve Martino,88 minutes,1
32393,6268,764,Amy,7/2/15 0:00,Asif Kapadia,128 minutes,Amy,7/10/15 0:00,Asif Kapadia,128 minutes,1
32426,555,766,Let's Be Cops,8/12/14 0:00,Luke Greenfield,109 minutes,Let's Be Cops,8/13/14 0:00,Luke Greenfield,104 minutes,1
32658,3064,768,Rob the Mob,3/20/14 0:00,Raymond De Felitta,104 minutes,Rob the Mob,3/21/14 0:00,Raymond De Felitta,104 minutes,1
32713,2005,771,Taken 3,1/8/15 0:00,Olivier Megaton,93 minutes,Taken 3,1/9/15 0:00,Olivier Megaton,109 minutes,1
32888,1574,774,Everly,2/26/15 0:00,Joe Lynch,92 minutes,Everly,9/20/14 0:00,Joe Lynch,90 minutes,1
33102,2989,778,Son of a Gun,1/22/15 0:00,Julius Avery,108 minutes,Son of a Gun,12/11/14 0:00,Julius Avery,108 minutes,1
33105,7168,779,Brick Mansions,4/24/14 0:00,Camille Delamarre,90 minutes,Brick Mansions,4/25/14 0:00,Camille Delamarre,90 minutes,1
33113,275,780,The Last Circus,8/18/11 0:00,Ã§lex de la Iglesia,107 minutes,The Last Circus,8/19/11 0:00,Ã§lex de la Iglesia,101 minutes,1
33165,4367,781,Going Clear: Scientology and the Prison of Belief,3/12/15 0:00,Alex Gibney,120 minutes,Going Clear: Scientology and the Prison of Belief,1/25/15 0:00,Alex Gibney,119 minutes,1
33195,6554,782,The Zero Theorem,9/18/14 0:00,Terry Gilliam,107 minutes,The Zero Theorem,8/19/14 0:00,Terry Gilliam,107 minutes,1
33322,6291,784,Burnt,10/29/15 0:00,John Wells,100 minutes,Burnt,10/23/15 0:00,John Wells,100 minutes,1
33429,4317,785,Interrogation,"Dec 31,9999",Stephen Reynolds,93 minutes,Interrogation,9/20/16 0:00,Stephen Reynolds,93 minutes,1
33551,5302,788,A Hijacking,6/20/13 0:00,Tobias Lindholm,99 minutes,A Hijacking,8/4/12 0:00,Tobias Lindholm,103 minutes,1
33565,7063,789,The Book Thief,11/7/13 0:00,Brian Percival,130 minutes,The Book Thief,11/8/13 0:00,Brian Percival,131 minutes,1
33921,3254,793,Ten Thousand Saints,8/13/15 0:00,"Shari Springer Berman, Robert Pulcini",113 minutes,Ten Thousand Saints,8/14/15 0:00,"Shari Springer Berman, Robert Pulcini",113 minutes,1
34405,6578,799,Focus,2/26/15 0:00,"Glenn Ficarra, John Requa",104 minutes,Focus,2/27/15 0:00,"Glenn Ficarra, John Requa",105 minutes,1
35332,3098,808,Norm of the North,1/14/16 0:00,Trevor Wall,86 minutes,Norm of the North,1/15/16 0:00,Trevor Wall,86 minutes,1
35336,2568,809,Rush,9/26/13 0:00,Ron Howard,123 minutes,Rush,9/27/13 0:00,Ron Howard,123 minutes,1
35365,5455,810,Project X,3/1/12 0:00,Nima Nourizadeh,88 minutes,Project X,3/2/12 0:00,Nima Nourizadeh,88 minutes,1
35812,5981,817,A Common Man,3/14/13 0:00,Chandran Rutnam,86 minutes,A Common Man,6/30/13 0:00,Chandran Rutnam,86 minutes,1
36039,4881,824,The Humbling,1/22/15 0:00,Barry Levinson,102 minutes,The Humbling,1/23/15 0:00,Barry Levinson,112 minutes,1
36254,3978,827,Pain & Gain,4/25/13 0:00,Michael Bay,129 minutes,Pain & Gain,4/26/13 0:00,Michael Bay,130 minutes,1
36383,2506,830,Tinker Tailor Soldier Spy,12/8/11 0:00,Tomas Alfredson,128 minutes,Tinker Tailor Soldier Spy,12/9/11 0:00,Tomas Alfredson,127 minutes,1
36432,4181,833,The Odd Life of Timothy Green,8/14/12 0:00,Peter Hedges,100 minutes,The Odd Life of Timothy Green,8/15/12 0:00,Peter Hedges,105 minutes,1
36569,1789,836,My Big Fat Greek Wedding 2,3/24/16 0:00,Kirk Jones,94 minutes,My Big Fat Greek Wedding 2,3/25/16 0:00,Kirk Jones,94 minutes,1
37220,1044,842,Vikingdom,10/3/13 0:00,Yusry Abdul Halim,114 minutes,Vikingdom,10/4/13 0:00,Yusry Abdul Halim,114 minutes,1
37222,7194,843,Special Forces,10/11/12 0:00,StÅ_phane Rybojad,107 minutes,Special Forces,10/12/12 0:00,StÅ_phane Rybojad,109 minutes,1
37476,589,848,A Hologram for the King,4/21/16 0:00,Tom Tykwer,90 minutes,A Hologram for the King,4/20/16 0:00,Tom Tykwer,97 minutes,1
37506,4468,849,The Tree of Life,5/26/11 0:00,Terrence Malick,139 minutes,The Tree of Life,5/27/11 0:00,Terrence Malick,139 minutes,1
37576,5497,852,RoboCop,2/11/14 0:00,JosÅ_ Padilha,117 minutes,RoboCop,2/12/14 0:00,JosÅ_ Padilha,102 minutes,1
38223,2988,859,Black Sea,1/22/15 0:00,Kevin Macdonald,115 minutes,Black Sea,1/23/15 0:00,Kevin Macdonald,115 minutes,1
38325,4692,862,Alex Cross,10/18/12 0:00,Rob Cohen,101 minutes,Alex Cross,10/18/12 0:00,Rob Cohen,101 minutes,1
38355,5688,863,A Royal Night Out,12/3/15 0:00,Julian Jarrold,97 minutes,A Royal Night Out,9/7/15 0:00,Julian Jarrold,97 minutes,1
38435,2826,867,Mr. Right,4/7/16 0:00,Paco Cabezas,90 minutes,Mr. Right,4/8/16 0:00,Paco Cabezas,95 minutes,1
38442,1374,868,Olympus Has Fallen,3/21/13 0:00,Antoine Fuqua,119 minutes,Olympus Has Fallen,3/18/13 0:00,Antoine Fuqua,120 minutes,1
38561,2308,873,Ouija,10/23/14 0:00,"McG, Stiles White",83 minutes,Ouija,10/24/14 0:00,"McG, Stiles White",89 minutes,1
38657,7323,876,The Angriest Man in Brooklyn,5/22/14 0:00,Phil Alden Robinson,87 minutes,The Angriest Man in Brooklyn,5/23/14 0:00,Phil Alden Robinson,84 minutes,1
38989,3654,888,Carol,11/19/15 0:00,Todd Haynes,118 minutes,Carol,11/20/15 0:00,Todd Haynes,118 minutes,1
39253,1913,899,The Tall Man,8/30/12 0:00,Pascal Laugier,100 minutes,The Tall Man,8/1/12 0:00,Pascal Laugier,106 minutes,1
39278,6609,904,Hara-Kiri: Death of a Samurai,7/19/12 0:00,"Takashi Miike, Kikumi Yamagishi, Kikumi Yamagishi",126 minutes,Hara-Kiri: Death of a Samurai,10/15/11 0:00,"Takashi Miike, Kikumi Yamagishi, Kikumi Yamagishi",126 minutes,1
39287,10,905,Chef,5/8/14 0:00,Jon Favreau,115 minutes,Chef,5/9/14 0:00,Jon Favreau,115 minutes,1
39332,5176,906,The Turin Horse,2/9/12 0:00,"Bela Tarr, Ã§gnes Hranitzky",146 minutes,The Turin Horse,10/13/11 0:00,"Bela Tarr, Ã§gnes Hranitzky",146 minutes,1
39336,5863,907,Kung Fu Panda 3,1/28/16 0:00,"Jennifer Yuh Nelson, Alessandro Carloni",94 minutes,Kung Fu Panda 3,1/29/16 0:00,"Jennifer Yuh Nelson, Alessandro Carloni",95 minutes,1
39403,2684,909,Doomsday,12/18/15 0:00,Neil Johnson,94 minutes,Doomsday,3/14/08 0:00,Neil Johnson,105 minutes,1
39567,1886,911,Restitution,10/27/11 0:00,"Lance Kawas, Lance K. R. Kawas",101 minutes,Restitution,10/28/11 0:00,"Lance Kawas, Lance K. R. Kawas",101 minutes,1
39570,5571,912,X-Men: Days of Future Past,5/22/14 0:00,Bryan Singer,131 minutes,X-Men: Days of Future Past,5/23/14 0:00,Bryan Singer,131 minutes,1
39659,5816,915,Pride,9/25/14 0:00,Matthew Warchus,120 minutes,Pride,12/4/14 0:00,Matthew Warchus,117 minutes,1
39850,7120,918,Beyond the Lights,11/13/14 0:00,Gina Prince-Bythewood,102 minutes,Beyond the Lights,11/14/14 0:00,Gina Prince-Bythewood,116 minutes,1
39853,567,919,Unfriended,4/16/15 0:00,Levan Gabriadze,82 minutes,Unfriended,3/13/15 0:00,Levan Gabriadze,82 minutes,1
40159,1608,923,12 Rounds 3: Lockdown,9/10/15 0:00,Stephen Reynolds,90 minutes,12 Rounds 3: Lockdown,9/11/15 0:00,Stephen Reynolds,90 minutes,1
40503,2475,926,"As Above, So Below",8/28/14 0:00,John Erick Dowdle,93 minutes,"As Above, So Below",8/29/14 0:00,John Erick Dowdle,93 minutes,1
40563,5521,927,Battle of the Year,9/19/13 0:00,Benson Lee,109 minutes,Battle of the Year,9/21/13 0:00,Benson Lee,110 minutes,1
40635,666,928,The Hunt,7/11/13 0:00,Thomas Vinterberg,111 minutes,The Hunt,12/20/12 0:00,Thomas Vinterberg,115 minutes,1
40713,1729,929,Scouts Guide to the Zombie Apocalypse,10/29/15 0:00,Christopher Landon,93 minutes,Scouts Guide to the Zombie Apocalypse,10/30/15 0:00,Christopher Landon,93 minutes,1
40773,6711,931,Much Ado About Nothing,6/6/13 0:00,Joss Whedon,108 minutes,Much Ado About Nothing,6/7/13 0:00,Joss Whedon,107 minutes,1
40873,3082,933,Maleficent,5/29/14 0:00,Robert Stromberg,97 minutes,Maleficent,5/30/14 0:00,Robert Stromberg,97 minutes,1
41008,70,934,Starred Up,8/26/14 0:00,David Mackenzie,106 minutes,Starred Up,8/30/13 0:00,David Mackenzie,106 minutes,1
41274,6130,937,Abraham Lincoln: Vampire Hunter,6/21/12 0:00,Timur Bekmambetov,105 minutes,Abraham Lincoln: Vampire Hunter,6/22/12 0:00,Timur Bekmambetov,94 minutes,1
41488,3689,942,Jobs,8/15/13 0:00,Joshua Michael Stern,129 minutes,Jobs,8/16/13 0:00,Joshua Michael Stern,128 minutes,1
41788,4242,946,Don Jon,9/26/13 0:00,Joseph Gordon-Levitt,90 minutes,Don Jon,9/27/13 0:00,Joseph Gordon-Levitt,90 minutes,1
41832,3735,949,A.C.O.D.,10/3/13 0:00,"Stuart Zicherman, Stu Zicherman",87 minutes,A.C.O.D.,10/4/13 0:00,"Stuart Zicherman, Stu Zicherman",88 minutes,1
41871,2705,950,Dying of the Light,12/4/14 0:00,Paul Schrader,93 minutes,Dying of the Light,12/4/14 0:00,Paul Schrader,94 minutes,1
42201,1335,954,Ender's Game,10/31/13 0:00,Gavin Hood,113 minutes,Ender's Game,11/1/13 0:00,Gavin Hood,114 minutes,1
42246,6387,958,ARQ,"Dec 31,9999",Tony Elliott,88 minutes,ARQ,9/16/16 0:00,Tony Elliott,88 minutes,1
42385,3605,962,Lawless,8/28/12 0:00,John Hillcoat,115 minutes,Lawless,8/29/12 0:00,John Hillcoat,115 minutes,1
42741,1539,968,Seventh Son,2/5/15 0:00,"Sergei Bodrov, Sergey Bodrov",102 minutes,Seventh Son,2/6/15 0:00,"Sergei Bodrov, Sergey Bodrov",102 minutes,1
42764,1993,970,Zookeeper,7/7/11 0:00,Frank Coraci,101 minutes,Zookeeper,7/8/11 0:00,Frank Coraci,102 minutes,1
42889,2853,973,Danny Collins,4/9/15 0:00,Dan Fogelman,106 minutes,Danny Collins,3/20/15 0:00,Dan Fogelman,107 minutes,1
43153,4179,980,The Incredible Burt Wonderstone,3/14/13 0:00,Don Scardino,100 minutes,The Incredible Burt Wonderstone,3/15/13 0:00,Don Scardino,100 minutes,1
43182,6090,981,Barbie: The Pearl Princess,1/31/14 0:00,"Terry Klassen, Ezekiel Norton, Terry Klassen",74 minutes,Barbie: The Pearl Princess,2/1/14 0:00,"Terry Klassen, Ezekiel Norton, Terry Klassen",73 minutes,1
43261,6547,984,Life,12/3/15 0:00,Anton Corbijn,112 minutes,Life,12/4/15 0:00,Anton Corbijn,112 minutes,1
43363,1314,989,Star Trek Into Darkness,5/15/13 0:00,J.J. Abrams,131 minutes,Star Trek Into Darkness,5/16/13 0:00,J.J. Abrams,132 minutes,1
43479,1528,992,Beyond The Mask,4/5/15 0:00,Chad Burns,103 minutes,Beyond the Mask,4/6/15 0:00,Chad Burns,103 minutes,1
43484,228,993,Breathe In,3/27/14 0:00,Drake Doremus,97 minutes,Breathe In,1/19/13 0:00,Drake Doremus,98 minutes,1
43535,2847,995,Shaun the Sheep Movie,8/4/15 0:00,"Mark Burton, Richard Starzak",84 minutes,Shaun the Sheep Movie,8/5/15 0:00,"Mark Burton, Richard Starzak",85 minutes,1
43663,6789,998,Paranoia,8/15/13 0:00,Robert Luketic,106 minutes,Paranoia,8/16/13 0:00,Robert Luketic,106 minutes,1
43825,3539,1004,The Revenant,12/24/15 0:00,"Alejandro Gonzâ€¡lez Iâ€“â€¡rritu, Alejandro Gonzâ€¡lez Iâ€“â€¡rritu",156 minutes,The Revenant,12/16/15 0:00,"Alejandro Gonzâ€¡lez Iâ€“â€¡rritu, Alejandro Gonzâ€¡lez Iâ€“â€¡rritu",156 minutes,1
43976,2984,1012,Wreck-it Ralph,11/1/12 0:00,Rich Moore,92 minutes,Wreck-It Ralph,11/2/12 0:00,Rich Moore,108 minutes,1
44010,104,1014,Cold Comes The Night,1/9/14 0:00,Tze Chun,91 minutes,Cold Comes the Night,9/20/13 0:00,Tze Chun,90 minutes,1
44032,4541,1015,About Last Night,2/13/14 0:00,Steve Pink,100 minutes,About Last Night,2/14/14 0:00,Steve Pink,100 minutes,1
44116,3047,1018,The Dinosaur Project,8/9/12 0:00,Sid Bennett,83 minutes,The Dinosaur Project,8/9/12 0:00,Sid Bennett,83 minutes,1
44513,2103,1024,Fathers And Daughters,7/7/16 0:00,Gabriele Muccino,116 minutes,Fathers and Daughters,1/13/16 0:00,Gabriele Muccino,116 minutes,1
44518,6537,1025,5 Flights Up,5/7/15 0:00,Richard Loncraine,92 minutes,5 Flights Up,5/8/15 0:00,Richard Loncraine,92 minutes,1
44752,3009,1030,Piranha 3DD,5/31/12 0:00,John Gulager,83 minutes,Piranha 3DD,6/1/12 0:00,John Gulager,83 minutes,1
44927,5087,1037,Good Kill,5/14/15 0:00,Andrew Niccol,103 minutes,Good Kill,5/15/15 0:00,Andrew Niccol,104 minutes,1
44994,1560,1043,Baggage Claim,9/26/13 0:00,David E. Talbert,96 minutes,Baggage Claim,9/27/13 0:00,David E. Talbert,96 minutes,1
45602,245,1050,"Men, Women & Children",9/30/14 0:00,Jason Reitman,119 minutes,"Men, Women & Children",10/17/14 0:00,Jason Reitman,116 minutes,1
45747,6184,1057,In the Fog,6/13/13 0:00,Sergei Loznitsa,127 minutes,In the Fog,6/14/13 0:00,Sergei Loznitsa,130 minutes,1
45750,1534,1059,The Woman in the Fifth,6/14/12 0:00,"Pawel Pawlikowski, Pavel Pavlikovskiy",83 minutes,The Woman in the Fifth,6/15/12 0:00,"Pawel Pawlikowski, Pavel Pavlikovskiy",85 minutes,1
45817,4391,1064,Maze Runner: The Scorch Trials,9/17/15 0:00,Wes Ball,120 minutes,Maze Runner: The Scorch Trials,9/18/15 0:00,Wes Ball,132 minutes,1
45863,6244,1067,The Help,8/9/11 0:00,Tate Taylor,137 minutes,The Help,8/10/11 0:00,Tate Taylor,146 minutes,1
45882,2509,1068,African Cats,4/21/11 0:00,"Alastair Fothergill, Keith Scholey",89 minutes,African Cats,4/22/11 0:00,"Alastair Fothergill, Keith Scholey",89 minutes,1
45949,5944,1073,Battle Royale,12/31/99 0:00,Kinji Fukasaku,114 minutes,Battle Royale,12/20/00 0:00,Kinji Fukasaku,114 minutes,1
46041,140,1080,Oldboy,11/26/13 0:00,Spike Lee,104 minutes,Oldboy,11/27/13 0:00,Spike Lee,104 minutes,1
46271,845,1086,Survivor,5/28/15 0:00,James McTeigue,96 minutes,Survivor,5/29/15 0:00,James McTeigue,96 minutes,1
46336,6775,1087,John Wick,10/23/14 0:00,"David Leitch, Chad Stahelski",96 minutes,John Wick,10/24/14 0:00,"David Leitch, Chad Stahelski",101 minutes,1
46682,5858,1091,About Cherry,9/20/12 0:00,Stephen Elliott,102 minutes,About Cherry,9/21/12 0:00,Stephen Elliott,102 minutes,1
46815,2712,1093,Holidays,4/21/16 0:00,"Kevin Smith, Kevin Kolsch, Dennis Widmyer, Scott Stewart, Nicholas McCarthy, Gary Shore, Anthony Scott Burns, Sarah Adina Smith, Adam Egypt Mortimer",104 minutes,Holidays,4/14/16 0:00,"Kevin Smith, Kevin Kolsch, Dennis Widmyer, Scott Stewart, Nicholas McCarthy, Gary Shore, Anthony Scott Burns, Sarah Adina Smith, Adam Egypt Mortimer",105 minutes,1
47763,1961,1111,Wild,12/2/14 0:00,Jean-Marc VallÅ_e,115 minutes,Wild,12/5/14 0:00,Jean-Marc VallÅ_e,115 minutes,1
47768,714,1112,Erased,5/16/13 0:00,Philipp StÅ¡lzl,104 minutes,Erased,5/17/13 0:00,Philipp StÅ¡lzl,100 minutes,1
47833,7273,1114,Lady and the Tramp,6/21/55 0:00,"Hamilton Luske, Wilfred Jackson, Clyde Geronimi",76 minutes,Lady and the Tramp,6/16/55 0:00,"Hamilton Luske, Wilfred Jackson, Clyde Geronimi",76 minutes,1
47856,7244,1115,Race,2/18/16 0:00,Stephen Hopkins,90 minutes,Race,2/19/16 0:00,Stephen Hopkins,134 minutes,1
47927,6843,1116,Goosebumps,10/15/15 0:00,Rob Letterman,103 minutes,Goosebumps,10/16/15 0:00,Rob Letterman,103 minutes,1
48389,5298,1125,No Escape,8/25/15 0:00,John Erick Dowdle,101 minutes,No Escape,8/26/15 0:00,John Erick Dowdle,103 minutes,1
48543,7387,1130,Love And Honor,3/21/13 0:00,Danny Mooney,92 minutes,Love and Honor,3/22/13 0:00,Danny Mooney,92 minutes,1
48812,3125,1139,The Campaign,8/9/12 0:00,Jay Roach,86 minutes,The Campaign,8/10/12 0:00,Jay Roach,85 minutes,1
49248,1113,1146,21 Jump Street,3/15/12 0:00,"Chris Miller, Christopher Miller, Phil Lord",109 minutes,21 Jump Street,3/12/12 0:00,"Chris Miller, Christopher Miller, Phil Lord",109 minutes,1
49593,5503,1150,Remember,3/10/16 0:00,Atom Egoyan,95 minutes,Remember,3/11/16 0:00,Atom Egoyan,94 minutes,1
49802,5922,1152,Good People,9/25/14 0:00,Henrik Ruben Genz,90 minutes,Good People,9/26/14 0:00,Henrik Ruben Genz,90 minutes,1
49874,1771,1153,About Time,10/31/13 0:00,Richard Curtis,123 minutes,About Time,11/8/13 0:00,Richard Curtis,123 minutes,1
50136,7199,1158,The Hundred-Foot Journey,8/7/14 0:00,"Lasse Hallstrom, Steven Quale",122 minutes,The Hundred-Foot Journey,8/8/14 0:00,"Lasse Hallstrom, Steven Quale",122 minutes,1
50214,4171,1160,The Counselor,10/24/13 0:00,Ridley Scott,117 minutes,The Counselor,10/25/13 0:00,Ridley Scott,117 minutes,1
50564,4601,1163,Fury,10/16/14 0:00,David Ayer,135 minutes,Fury,10/15/14 0:00,David Ayer,135 minutes,1
50617,5038,1167,Enough Said,9/17/13 0:00,Nicole Holofcener,93 minutes,Enough Said,9/18/13 0:00,Nicole Holofcener,93 minutes,1
50697,809,1171,Finding Nemo,5/29/03 0:00,"Lee Unkrich, Andrew Stanton",100 minutes,Finding Nemo,5/30/03 0:00,"Lee Unkrich, Andrew Stanton",100 minutes,1
50759,3990,1173,Suddenly,9/16/13 0:00,Uwe Boll,90 minutes,Suddenly,8/8/13 0:00,Uwe Boll,90 minutes,1
50979,5104,1177,Step Up Revolution,7/26/12 0:00,Scott Speer,98 minutes,Step Up Revolution,7/27/12 0:00,Scott Speer,99 minutes,1
50998,1167,1179,Woman in Gold,3/31/15 0:00,Simon Curtis,110 minutes,Woman in Gold,4/10/15 0:00,Simon Curtis,120 minutes,1
51050,2131,1180,Straight Outta Compton,8/13/15 0:00,F. Gary Gray,147 minutes,Straight Outta Compton,8/11/15 0:00,F. Gary Gray,147 minutes,1
51083,445,1181,Criminal Activities,11/19/15 0:00,Jackie Earle Haley,94 minutes,Criminal Activities,11/20/15 0:00,Jackie Earle Haley,94 minutes,1
51168,5384,1185,Boulevard,7/9/15 0:00,Dito Montiel,88 minutes,Boulevard,4/20/14 0:00,Dito Montiel,88 minutes,1
51763,5739,1199,The Decoy Bride,3/8/12 0:00,"Sheree Folkson, Sheree Folkson",89 minutes,The Decoy Bride,10/10/11 0:00,"Sheree Folkson, Sheree Folkson",89 minutes,1
51950,1973,1203,Tusk,9/18/14 0:00,Kevin Smith,102 minutes,Tusk,9/19/14 0:00,Kevin Smith,102 minutes,1
52141,3190,1206,Extraction,12/17/15 0:00,Steven C. Miller,96 minutes,Extraction,12/18/15 0:00,Steven C. Miller,83 minutes,1
52231,6615,1208,Spy,6/4/15 0:00,Paul Feig,117 minutes,Spy,6/5/15 0:00,Paul Feig,120 minutes,1
52358,3698,1210,The Man From U.N.C.L.E.,8/13/15 0:00,Guy Ritchie,116 minutes,The Man from U.N.C.L.E.,8/14/15 0:00,Guy Ritchie,116 minutes,1
52435,285,1212,I Spit on Your Grave 2,9/19/13 0:00,Steven R. Monroe,106 minutes,I Spit on Your Grave 2,9/24/13 0:00,Steven R. Monroe,106 minutes,1
52481,4503,1213,Risen,2/18/16 0:00,Kevin Reynolds,107 minutes,Risen,1/22/16 0:00,Kevin Reynolds,107 minutes,1
52541,3335,1215,Urge,6/2/16 0:00,Aaron Kaufman,89 minutes,Urge,4/5/16 0:00,Aaron Kaufman,89 minutes,1
52647,6586,1217,Captain Phillips,10/10/13 0:00,Paul Greengrass,134 minutes,Captain Phillips,10/11/13 0:00,Paul Greengrass,134 minutes,1
52896,1819,1223,American Ultra,8/20/15 0:00,Nima Nourizadeh,99 minutes,American Ultra,8/21/15 0:00,Nima Nourizadeh,96 minutes,1
52919,4603,1225,Cars 2,6/23/11 0:00,"John Lasseter, Brad Lewis",112 minutes,Cars 2,6/16/11 0:00,"John Lasseter, Brad Lewis",106 minutes,1
