ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime,PartialURL
4610,Goodnight For Justice: The Measure Of A Man,NR,"Dec 31,9999","Neal H. Dobrofsky, Tippi Dobrofsky, Neal Dobrofsky, Elizabeth Waite","Kristoffer Tabori, K.T. Donaldson, Elizabeth Waite, Andrew Waite","Drama, Television, Western",0,90 minutes,goodnight_for_justice_the_measure_of_a_man
4611,Lola's Love Shack,R,2/12/2015 0:00,"Esteban Zul, Patrick Perez",Patrick Perez,Comedy,0,93 minutes,lolas_love_shack
4612,The Trouble with Bliss,PG-13,3/22/2012 0:00,"Michael Knowles, Douglas Light",Michael Knowles,Comedy,"$10,911.00 ",97 minutes,the_trouble_with_bliss
4613,Deadly Code,NR,"Dec 31,9999",NOT_AVAILABLE,Gabriele Salvatores,Mystery & Suspense,0,0,deadly_code
4614,Somewhere Between,NR,8/23/2012 0:00,NOT_AVAILABLE,Linda Goldstein Knowlton,"Documentary, Special Interest","$193,082.00 ",94 minutes,somewhere_between_2011
4615,Pit Stop,NR,1/20/2013 0:00,"Yen Tan, David Lowery",Yen Tan,Drama,0,80 minutes,pit_stop_2013
4616,California Winter,NR,"Dec 31,9999",Odin Ozdil,Odin Ozdil,Drama,0,82 minutes,california_winter
4617,Dreams of a Life,NR,8/2/2012 0:00,Carol Morley,Carol Morley,"Art House & International, Documentary, Drama, Special Interest","$6,595.00 ",90 minutes,dreams_of_a_life
4618,Be My Valentine,NR,"Dec 31,9999","David Titcher, J.B. White, David N. Titcher",Graeme Campbell,"Comedy, Drama",0,87 minutes,be_my_valentine
4619,Bikini Bloodbath Shakespeare,NR,"Dec 31,9999",NOT_AVAILABLE,John Reed,Comedy,0,72 minutes,bikini_bloodbath_shakespeare
4620,A Man's Story,NR,11/1/2012 0:00,NOT_AVAILABLE,Varon Bonicos,"Documentary, Special Interest",0,98 minutes,a_mans_story_2011
4621,Charlie Casanova,NR,"Dec 31,9999",Terry McMahon,Terry McMahon,Drama,0,94 minutes,charlie_casanova
4622,Alien Opponent,NR,8/4/2011 0:00,John Doolan,Colin Theys,"Action & Adventure, Science Fiction & Fantasy",0,91 minutes,alien_opponent
4623,Laurence Anyways,NR,6/27/2013 0:00,Xavier Dolan,Xavier Dolan,Drama,0,161 minutes,laurence_anyways
4624,W.M.D.,NR,3/31/2015 0:00,"Richard Halpern, Ian Truitner, Mike Le",Richard Halpern,Mystery & Suspense,0,80 minutes,wmd-2008
4625,The Eschatrilogy,NR,"Dec 31,9999",Damian Morter,Damian Morter,"Horror, Science Fiction & Fantasy",0,103 minutes,the_eschatrilogy
4626,The Pervert's Guide To Ideology,NR,10/31/2013 0:00,Slavoj Zizek,Sophie Fiennes,"Documentary, Special Interest","$66,236.00 ",134 minutes,the_perverts_guide_to_ideology
4627,Last Summer,NR,"Dec 31,9999",Mark Thiedeman,Mark Thiedeman,"Drama, Romance",0,73 minutes,
4628,Turbo,PG,7/16/2013 0:00,"Darren Lemke, David Soren",David Soren,"Animation, Kids & Family","$81,100,000.00 ",95 minutes,turbo_2013
4629,Strawberry Cliff,NR,11/14/2011 0:00,Chris Chow,Chris Chow,"Drama, Mystery & Suspense",0,118 minutes,strawberry_cliff
4630,Second Coming,NR,"Dec 31,9999","Debbie Tucker-Green, Debbie Tucker Green","Debbie Tucker-Green, Debbie Tucker Green",Drama,0,105 minutes,second_coming_2014
4631,Smoked.,NR,12/31/2009 0:00,"Jamie DeWolf, Jamie DeWolf","Jamie DeWolf, Joshua Staley",Comedy,0,98 minutes,smoked
4632,"1,000 Times Good Night",NR,10/23/2014 0:00,Harald Rosenløw-Eeg,Erik Poppe,Drama,"$53,025.00 ",117 minutes,1000_times_good_night
4633,Box of Shadows (The Ghostmaker),R,"Dec 31,9999","Mauro Borrelli, Scott Svatos",Mauro Borrelli,"Horror, Mystery & Suspense, Science Fiction & Fantasy",0,91 minutes,box_of_shadows
4634,Lost Woods,NR,"Dec 31,9999","Joey D. Brown, Nathan Ellering, Phillip Ellering","Nathan Ellering, Phillip Ellering","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",0,88 minutes,lost_woods
4635,Out of the Furnace,R,12/5/2013 0:00,"Scott Cooper, Brad Ingelsby, Brad Inglesby",Scott Cooper,Drama,0,116 minutes,out_of_the_furnace
4636,The Art of the Steal,R,3/13/2014 0:00,Jonathan Sobol,Jonathan Sobol,Comedy,0,90 minutes,the_art_of_the_steal
4637,LOL,PG-13,5/3/2012 0:00,"Karim Aïnouz, Lisa Azuelos, Liza Azuelos","Lisa Azuelos, Liza Azuelos",Comedy,0,96 minutes,lol_2011
4638,Bro',R,6/21/2012 0:00,"Kim MacKenzie, Nick Parada",Nick Parada,"Action & Adventure, Drama",0,89 minutes,bro_2012
4639,Zero Dark Dirty,NR,6/14/2014 0:00,Alexander Loy,"Joe Walser, Alexander Loy","Comedy, Drama, Musical & Performing Arts, Romance",0,89 minutes,zero_dark_dirty_2014
4640,Royal Paintbox,NR,"Dec 31,9999",Margy Kinmonth,Margy Kinmonth,"Art House & International, Documentary, Kids & Family, Special Interest",0,71 minutes,royal_paintbox_2013
4641,Bubblegum & Broken Fingers,NR,"Dec 31,9999",Sean Jackson,Sean Jackson,"Drama, Romance",0,89 minutes,bubblegum_and_broken_fingers_2013
4642,The Mark: Redemption,NR,"Dec 31,9999","Paul Duran, Leland Jourdan II",James Chankin,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",0,94 minutes,the_mark_redemption
4643,Sinister Squad,NR,"Dec 31,9999",Jeremy M. Inman,Jeremy M. Inman,NOT_AVAILABLE,0,90 minutes,sinister_squad
4644,Carry On Abroad,R,11/30/1972 0:00,Talbot Rothwell,Gerald Thomas,Comedy,0,89 minutes,carry_on_abroad_1972
4645,Hit By Lightning,NR,10/30/2014 0:00,Ricky Blitt,Ricky Blitt,"Comedy, Romance",0,90 minutes,hit_by_lightning
4646,Delivery Man,PG-13,11/21/2013 0:00,Ken Scott (V),Ken Scott (V),Comedy,"$30,659,817.00 ",103 minutes,delivery_man
4647,Glass Chin,NR,6/25/2015 0:00,Noah Buschel,Noah Buschel,"Drama, Mystery & Suspense",0,87 minutes,glass_chin
4648,Devil Seed (The Devil in Me),R,8/6/2012 0:00,"Greg A. Sager, Geoff Hart","Greg A. Sager, Greg A. Sagar","Art House & International, Horror",0,108 minutes,devil_seed_2013
4649,The Christmas Dragon,NR,"Dec 31,9999","John Lyde, Shylah Addante, David Addante, Shylah Addante",John Lyde,"Action & Adventure, Drama",0,106 minutes,the_christmas_dragon
4650,Killjoy Goes to Hell,NR,9/14/2012 0:00,"John Lechago, John Lechago",John Lechago,Horror,0,80 minutes,killjoy_goes_to_hell
4651,Out Of The Dark,R,2/26/2015 0:00,"Javier Gullón, Alex Pastor, David Pastor",Lluís Quílez,"Horror, Mystery & Suspense",0,92 minutes,out_of_the_dark_2015
4652,Patagonia Rising,NR,6/7/2012 0:00,NOT_AVAILABLE,Brian Lilla,"Action & Adventure, Documentary, Western","$1,674.00 ",88 minutes,patagonia_rising_2011
4653,Hidden,NR,9/14/2015 0:00,"Matt Duffer, Ross Duffer","Matt Duffer, Ross Duffer",Horror,0,84 minutes,hidden_2015
4654,Jake Shimabukuro: Life on Four Strings,NR,"Dec 31,9999",NOT_AVAILABLE,Tadashi Nakamura,"Documentary, Musical & Performing Arts, Special Interest",0,60 minutes,jake_shimabukuro_life_on_four_strings
4655,Firepower,R,3/31/1979 0:00,Gerald Wilson,Michael Winner,"Action & Adventure, Drama, Mystery & Suspense",0,104 minutes,1007374-firepower
4656,The Minutemen Movie,NR,"Dec 31,9999",NOT_AVAILABLE,Corey Wascinski,"Art House & International, Documentary, Drama, Special Interest",0,80 minutes,the_minutemen_movie_2012
4657,Scream At The Devil,NR,"Dec 31,9999","Joseph Stachura, Joseph P. Stachura","Joseph Stachura, Joseph P. Stachura",Mystery & Suspense,0,98 minutes,scream_at_the_devil
4658,Noble,PG-13,5/7/2015 0:00,Stephen Bradley,Stephen Bradley,Drama,"$347,321.00 ",100 minutes,noble_2014
4659,Transcendence,PG-13,4/17/2014 0:00,Jack Paglen,Wally Pfister,"Drama, Science Fiction & Fantasy","$23,014,504.00 ",119 minutes,transcendence_2014
4660,Rampage: Capital Punishment,NR,8/18/2014 0:00,"Uwe Boll, Brendan Fletcher",Uwe Boll,"Action & Adventure, Drama, Mystery & Suspense",0,93 minutes,rampage_capital_punishment
4661,Brothers Of The Black List,NR,"Dec 31,9999",Sean Gallagher,Sean Gallagher,Documentary,0,74 minutes,brothers_of_the_black_list
4662,You're Only Young Once,NR,12/9/1937 0:00,Kay Van Riper,George B. Seitz,"Comedy, Romance",0,78 minutes,youre_only_young_once
4663,Project X,NR,"Dec 31,9999",NOT_AVAILABLE,William Castle,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",0,97 minutes,project_x_1968
4664,SelectED,NR,"Dec 31,9999",NOT_AVAILABLE,Kayla McCormick,Documentary,0,95 minutes,selected
4665,Antidote,NR,"Dec 31,9999","Craig DiFolco, Pete DiFolco","Craig DiFolco, Pete DiFolco",Horror,0,0,antidote_2013
4666,Unacceptable Levels,NR,9/12/2013 0:00,Ed Brown,Ed Brown,"Documentary, Special Interest",0,80 minutes,unacceptable_levels
4667,Blood Red,R,5/31/1988 0:00,Ron Cutler,Peter Masterson,"Action & Adventure, Drama",0,91 minutes,blood_red
4668,Renfield The Undead,NR,"Dec 31,9999",Phil Nichols,Bob Willems,Horror,0,120 minutes,renfield_the_undead
4669,The Last Run,PG,1/6/1971 0:00,Alan Sharp,"Richard Fleischer, John Huston","Action & Adventure, Drama, Mystery & Suspense",0,92 minutes,the-last-run-1971
4670,Hamlet & Hutch,NR,"Dec 31,9999","Cas Sigers, Cas Sigers-Beedles","Jared Young, Carelton Holt, Matthew Young",Drama,0,90 minutes,hamlet_and_hutch_2014
4671,Hayride,NR,"Dec 31,9999",Terron R. Parsons,Terron R. Parsons,"Drama, Horror, Mystery & Suspense",0,90 minutes,hayride
4672,Joker 3D,NR,8/30/2012 0:00,Shirish Kunder,Shirish Kunder,"Action & Adventure, Comedy, Science Fiction & Fantasy","$169,137.00 ",92 minutes,joker_3d
4673,Dragon Crusaders,R,"Dec 31,9999",Mark Atkins,Mark Atkins,"Action & Adventure, Science Fiction & Fantasy",0,89 minutes,dragon_crusaders_2011
4674,New Hope,NR,2/9/2012 0:00,Rodney Ray,Rodney Ray,Drama,0,120 minutes,new_hope
4675,Runoff,R,6/25/2015 0:00,Kimberly Levin,Kimberly Levin,Drama,"$7,465.00 ",90 minutes,runoff_2015
4676,The Truth (A Dark Truth),R,1/3/2013 0:00,Damian Lee,Damian Lee,Action & Adventure,"$5,750.00 ",106 minutes,a_dark_truth
4677,Midnight in Paris,PG-13,6/9/2011 0:00,Woody Allen,Woody Allen,"Comedy, Romance","$55,400,000.00 ",94 minutes,midnight_in_paris
4678,Applesauce,NR,"Dec 31,9999",Onur Tukel,Onur Tukel,Comedy,0,91 minutes,
4679,3 Nights In The Desert,R,2/5/2015 0:00,Adam Chanzit,Gabriel Cowan,Drama,"$1,279.00 ",90 minutes,3_nights_in_the_desert_2014
4680,The Notebook,R,8/28/2014 0:00,"János Szász, András Szekér, Tom Abrams, Agota Kristof",János Szász,"Art House & International, Drama",0,112 minutes,a_nagy_fuzet_2013
4681,I Melt with You,R,12/8/2011 0:00,"Mark Pellington, Glenn Porter",Mark Pellington,"Drama, Mystery & Suspense",0,116 minutes,i_melt_with_you
4682,Duel at Diablo,NR,7/14/1966 0:00,"Marvin H. Albert, Michel Grilikhes, Michel M. Grilikhes, Michael M. Grilikhes",Ralph Nelson,"Action & Adventure, Western",0,103 minutes,1006347-duel_at_diablo
4683,Stoker,R,2/28/2013 0:00,Wentworth Miller,Chan-wook Park,"Drama, Horror, Mystery & Suspense","$1,700,000.00 ",98 minutes,stoker_2013
4684,Ominous,NR,10/9/2015 0:00,Peter Sullivan,Peter Sullivan,Horror,0,87 minutes,ominous_2015
4685,The Dark Place,NR,6/13/2014 0:00,Jody Wheeler,Jody Wheeler,Mystery & Suspense,0,87 minutes,the_dark_place_2014
4686,Killing Lincoln,NR,"Dec 31,9999",Erik Jendresen,Adrian Moat,Drama,0,95 minutes,killing_lincoln
4687,Zombie Hamlet,NR,12/30/2013 0:00,John McKinney,John Murlowski,Comedy,0,96 minutes,zombie_hamlet
4688,Judas Kiss,NR,2/28/2010 0:00,"Carlos Pedraza, J.T. Tepnapa",J.T. Tepnapa,"Drama, Mystery & Suspense, Science Fiction & Fantasy",0,94 minutes,judas-kiss-2009
4689,Armed Response (In Security),R,4/24/2013 0:00,"Adam Beamer, Evan Beamer, Craig Hildenbrand","Adam Beamer, Evan Beamer","Action & Adventure, Comedy",0,93 minutes,armed_response_2013
4690,Felix & Meira,R,4/16/2015 0:00,"Maxime Giroux, Alexandre Laferrière",Maxime Giroux,Drama,0,105 minutes,felix_and_meira
4691,The End of Love,PG,2/28/2013 0:00,Mark Webber,Mark Webber,Drama,"$8,326.00 ",90 minutes,the_end_of_love
4692,Alex Cross,PG-13,10/18/2012 0:00,"Marc Moss, Kerry Williamson",Rob Cohen,"Action & Adventure, Mystery & Suspense","$25,863,915.00 ",101 minutes,alex_cross
4693,Playtime,NR,6/26/1973 0:00,"Jacques Tati, Jacques Langrange, Art Buchwald",Jacques Tati,"Art House & International, Comedy",0,145 minutes,playtime
4694,Chilly Christmas,NR,11/5/2012 0:00,Gregory Poppen,Gregory Poppen,"Drama, Kids & Family, Television",0,85 minutes,chilly_christmas_2012
4695,The Flintstones and WWE: Stoneage Smackdown,PG,"Dec 31,9999",Jed Elinoff,"Spike Brandt, Tony Cervone","Animation, Comedy, Kids & Family",0,52 minutes,the_flintstones_and_wwe_stoneage_smackdown
4696,Special Correspondents,NR,"Dec 31,9999",Ricky Gervais,Ricky Gervais,Comedy,0,100 minutes,special_correspondents
4697,God's Not Dead,PG,3/20/2014 0:00,"Chuck Konzelman, Cary Solomon",Harold Cronk,"Comedy, Drama","$60,753,735.00 ",113 minutes,gods_not_dead
4698,Manakamana,NR,4/17/2014 0:00,NOT_AVAILABLE,"Pacho Velez, Stephanie Spray","Documentary, Special Interest",0,118 minutes,manakamana
4699,Passione,NR,6/21/2011 0:00,"John Turturro, Federico Vacalebre",John Turturro,"Documentary, Musical & Performing Arts","$258,222.00 ",90 minutes,passione
4700,Triad,NR,11/14/2012 0:00,"Kelvin Lee, Frankie Tam, Link Ling, Leung Siu-Lun, Siuman Yim, Cheung Chung-Leong, Ip Ming-Ho, Chucky Kom",Daniel Yee Heng Chan,"Art House & International, Drama",0,91 minutes,triad
4701,The Beat Hotel,NR,3/29/2012 0:00,NOT_AVAILABLE,Alan Govenar,"Documentary, Special Interest","$5,571.00 ",82 minutes,the_beat_hotel
4702,Alan Partridge,R,4/3/2014 0:00,"Steve Coogan, Armando Iannucci, Peter Baynham, Neil Gibbons, Rob Gibbons",Declan Lowney,"Art House & International, Comedy","$153,146.00 ",90 minutes,alan_partridge
4703,The Brotherhood Of The Traveling Rants,NR,9/23/2013 0:00,NOT_AVAILABLE,"Gavin McInnes, Bryan Gaynor, Steve Durand","Comedy, Documentary",0,67 minutes,the_brotherhood_of_the_traveling_rants
4704,Barracuda,NR,"Dec 31,9999",Christy Oldham,"Christy Oldham, Shane Woodson","Mystery & Suspense, Special Interest",0,93 minutes,barracuda_2011
4705,Loose Cannons (Mine Vaganti),NR,3/11/2010 0:00,"Ferzan Ozpetek, Ivan Cotroneo, Ferzan özpetek","Ferzan Ozpetek, Ferzan zpetek","Art House & International, Comedy, Drama, Romance",0,110 minutes,mine_vaganti
4706,HairBrained,PG-13,2/27/2014 0:00,Adam Wierzbianski,Billy Kent,"Comedy, Drama",0,97 minutes,hairbrained
4707,Hearts & Minds,R,3/19/2009 0:00,NOT_AVAILABLE,Peter Davis,"Documentary, Special Interest",0,112 minutes,hearts_and_minds
4708,Kirk Cameron's Saving Christmas,PG,11/13/2014 0:00,"Darren Doane, Cheston Hervey",Darren Doane,Kids & Family,"$2,778,297.00 ",80 minutes,kirk_camerons_saving_christmas
4709,The Hobbit: An Unexpected Journey,PG-13,12/13/2012 0:00,"Peter Jackson, Guillermo del Toro, Fran Walsh, Philippa Boyens",Peter Jackson,"Action & Adventure, Science Fiction & Fantasy","$303,001,229.00 ",170 minutes,the_hobbit_an_unexpected_journey
4710,Rapture-Palooza,R,6/6/2013 0:00,Chris Matheson,Paul Middleditch,"Comedy, Horror, Science Fiction & Fantasy",0,85 minutes,rapture_palooza
4711,"Small, Beautifully Moving Parts",NR,5/10/2012 0:00,"Annie Howell, Lisa Robinson, Annie J. Howell","Annie Howell, Lisa Robinson, Annie J. Howell","Comedy, Drama","$6,711.00 ",73 minutes,small_beautifully_moving_parts_2012
4712,Who's Minding the Mint?,NR,9/25/1967 0:00,"Frank Tashlin, Harry Tugend, Harvey Bullock, R.S. Allen","Howard Morris, Frank Tashlin","Classics, Comedy, Romance",0,98 minutes,whos_minding_the_mint
4713,Truth,R,10/15/2015 0:00,James Vanderbilt,James Vanderbilt,Drama,0,125 minutes,truth_2015
4714,Michael Jackson: The Life Of An Icon,NR,"Dec 31,9999",NOT_AVAILABLE,Andrew Eastel,"Documentary, Musical & Performing Arts",0,157 minutes,michael_jackson_the_life_of_an_icon_2011
4715,Operation Eichmann,NR,"Dec 31,9999",Lewis Copley,R.G. Springsteen,"Action & Adventure, Drama, Mystery & Suspense",0,93 minutes,operation_eichmann
4716,Hellions,NR,9/17/2015 0:00,Pascal Trottier,Bruce McDonald,Horror,0,80 minutes,hellions
4717,One Long Day,NR,"Dec 31,9999",David Sean Greider,Keith Mosher,Action & Adventure,0,92 minutes,one_long_day_2011
4718,Lalaloopsy: Band Together,G,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,"Animation, Kids & Family",0,45 minutes,lalaloopsy_band_together
4719,In Old Arizona,NR,12/24/1928 0:00,Tom Barry,"Raoul Walsh, Irving Cummings","Action & Adventure, Classics, Western, Romance",0,95 minutes,in_old_arizona
4720,Wo kou de zong ji (The Sword Identity),PG-13,8/16/2012 0:00,Haofeng Xu,Haofeng Xu,"Action & Adventure, Drama, Sports & Fitness",0,110 minutes,wo_kou_de_zong_ji
4721,Fart: A Documentary,NR,"Dec 31,9999",NOT_AVAILABLE,Troy Hale,NOT_AVAILABLE,0,77 minutes,fart_a_documentary
4722,Pandas: The Journey Home,NR,"Dec 31,9999",NOT_AVAILABLE,"Nicolás Brown, Caroline Hawkins, Nicolas Roether Brown","Documentary, Special Interest",0,40 minutes,pandas_the_journey_home
4723,Dealing With Idiots,NR,7/16/2013 0:00,"Jeff Garlin, Peter Murrieta","Jeff Garlin, Fred Willard",Comedy,"$15,308.00 ",86 minutes,dealing_with_idiots
4724,Gambit,PG-13,"Dec 31,9999","Ethan Coen, Joel Coen",Michael Hoffman,"Action & Adventure, Comedy, Drama, Mystery & Suspense",0,89 minutes,gambit_2014
4725,Girl Most Likely,PG-13,7/18/2013 0:00,Michelle Morgan,"Shari Springer Berman, Robert Pulcini",Comedy,"$1,378,426.00 ",103 minutes,girl_most_likely_2013
4726,A Yank At Eton,NR,"Dec 31,9999",NOT_AVAILABLE,Norman Taurog,"Comedy, Kids & Family",0,88 minutes,a_yank_at_eton_1942
4727,Northern Light,NR,6/15/2014 0:00,NOT_AVAILABLE,Nick Bentgen,"Documentary, Special Interest",0,105 minutes,northern_light_2014
4728,The Last Impresario,NR,11/27/2014 0:00,Gracie Otto,Gracie Otto,"Documentary, Special Interest",0,83 minutes,the_last_impresario
4729,Young Ones,R,10/16/2014 0:00,Jake Paltrow,Jake Paltrow,"Action & Adventure, Drama, Science Fiction & Fantasy",0,90 minutes,young_ones_2014
4730,The Den,R,3/13/2014 0:00,"Lauren Thompson, Zachary Donohue","Zachary Donohue, Zach Donahue","Horror, Mystery & Suspense",0,81 minutes,the_den
4731,The Swan Princess: A Royal Family Tale,PG,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,Animation,0,83 minutes,the_swan_princess_a_royal_family_tale_2014
4732,Lego Hero Factory: Savage Planet,NR,"Dec 31,9999",Sean Catherine Derek,Mark Baldo,"Action & Adventure, Animation",0,44 minutes,
4733,Cell 213,R,6/9/2011 0:00,Maninder Chana,Stephen Kay,Horror,0,109 minutes,cell_213
4734,The Bouquet,G,1/30/2013 0:00,Kele McGlohon,Anne Wheeler,"Art House & International, Drama, Kids & Family",0,99 minutes,the_bouquet_2013
4735,Only God Forgives,R,7/18/2013 0:00,Nicolas Winding Refn,Nicolas Winding Refn,"Action & Adventure, Art House & International, Drama","$700,000.00 ",89 minutes,only_god_forgives_2013
4736,The Thought Exchange,NR,"Dec 31,9999",Usher Morgan,Usher Morgan,"Documentary, Faith & Spirituality",0,92 minutes,the_thought_exchange
4737,The Legend of Hell's Gate,PG-13,3/29/2012 0:00,Tanner Beard,Tanner Beard,Western,0,91 minutes,the_legend_of_hells_gate
4738,Angelina Ballerina: Dreams Do Come True,G,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,"Animation, Kids & Family, Television",0,55 minutes,angelina_ballerina_dreams_do_come_true
4739,Knuckleball!,NR,9/19/2012 0:00,"Ricki Stern, Anne Sundberg, Christine Schomer","Ricki Stern, Anne Sundberg, Annie Sundberg","Documentary, Sports & Fitness",0,90 minutes,knuckleball_2012
4740,The Unknown Known,PG-13,4/1/2014 0:00,Errol Morris,Errol Morris,"Documentary, Special Interest",0,96 minutes,the_unknown_known
4741,Victor Crowl's Victory,NR,"Dec 31,9999",Victor Crowl,Victor Crowl,Drama,0,109 minutes,victor_crowls_victory
4742,She's With Me,NR,"Dec 31,9999",Stephen Langford,Stephen Langford,"Comedy, Drama, Romance",0,90 minutes,shes_with_me
4743,Cosmopolis,R,8/16/2012 0:00,"David Cronenberg, Don DeLillo",David Cronenberg,"Drama, Science Fiction & Fantasy","$600,000.00 ",108 minutes,cosmopolis
4744,The Forgiveness of Blood,NR,2/23/2012 0:00,"Joshua Marston, Andamion Murataj",Joshua Marston,"Art House & International, Drama","$119,683.00 ",109 minutes,the_forgiveness_of_blood
4745,The Colombian Connection,R,"Dec 31,9999","Bertie Higgins, Julian Higgins, Larry Madill",Julian Higgins,"Action & Adventure, Mystery & Suspense",0,98 minutes,the_colombian_connection_2013
4746,The Other Son,PG-13,10/25/2012 0:00,"Lorraine Lévy, Nathalie Saugeon, Noam Fitoussi, Isabelle Delacroix-Ducousset",Lorraine Lévy,Drama,0,105 minutes,the_other_son
4747,Beyond the Steppes,NR,"Dec 31,9999","Vanja d'Alcantara, Vanja d'Alcantara",Vanja d'Alcantara,Drama,0,90 minutes,beyond_the_steppes_2011
4748,One Track Heart: The Story of Krishna Das,NR,5/7/2013 0:00,Jeremy Frindel,Jeremy Frindel,"Documentary, Musical & Performing Arts, Special Interest",0,72 minutes,one_track_heart_the_story_of_krishna_das_2012
4749,A Separation,PG-13,12/29/2011 0:00,Asghar Farhadi,Asghar Farhadi,"Art House & International, Drama","$6,700,000.00 ",123 minutes,a_separation_2011
4750,Hit & Stay,NR,"Dec 31,9999","Skizz Cyzyk, Joe Tropea","Skizz Cyzyk, Joe Tropea","Documentary, Special Interest",0,99 minutes,hit_and_stay
4751,Hysterical Psycho,NR,4/23/2009 0:00,Dan Fogler,Dan Fogler,Horror,0,73 minutes,hysterical_psycho
4752,An Evergreen Christmas,PG,11/6/2014 0:00,"Jeremy Culver, Morgen Culver, Morgan Culver",Jeremy Culver,"Drama, Kids & Family, Musical & Performing Arts, Romance",0,138 minutes,an_evergreen_christmas
4753,Nature Calls,R,"Dec 31,9999",Todd Rohal,Todd Rohal,Comedy,0,79 minutes,nature_calls_2012
4754,The Adderall Diaries,R,4/14/2016 0:00,Pamela Romanowsky,Pamela Romanowsky,Drama,"$11,287.00 ",105 minutes,the_adderall_diaries
4755,The Freedom Of Silence,NR,"Dec 31,9999","Steve Larson, Richard Robertson, Richard Robertson",Richard Robertson,"Drama, Science Fiction & Fantasy",0,96 minutes,the_freedom_of_silence
4756,Robert Williams Mr. Bitchin',NR,7/29/2013 0:00,NOT_AVAILABLE,"Stephen Nemeth, Nancye Ferguson, Michael LaFetra, Mary Reese, Mary C Reese, Doug Blake (II)","Documentary, Special Interest",0,89 minutes,robert_williams_mr_bitchin_2013
4757,Find A Way,NR,1/3/2013 0:00,"Cornelius Muller, Donald James Moore, Thorne Winter",Burgess Jenkins,Drama,0,89 minutes,find_a_way_2013
4758,Resident Evil: Damnation,R,"Dec 31,9999",Shotaro Suga,Makoto Kamiya,"Action & Adventure, Animation, Art House & International, Horror, Science Fiction & Fantasy",0,100 minutes,resident_evil_damnation
4759,Bone Tomahawk,NR,10/22/2015 0:00,S. Craig Zahler,S. Craig Zahler,"Action & Adventure, Horror, Western",0,133 minutes,bone_tomahawk
4760,"Sex, Death And Bowling",R,10/29/2015 0:00,Ally Walker,Ally Walker,Comedy,0,92 minutes,sex_death_and_bowling
4761,The Fifth Estate,R,10/17/2013 0:00,"David Leigh, Josh Singer, Daniel Domscheit-Berg, Luke Harding",Bill Condon,"Documentary, Drama","$3,254,172.00 ",124 minutes,the_fifth_estate
4762,Boy Toy,R,10/31/2011 0:00,"Christie Will, Jarrett Golding",Christie Will,Comedy,0,90 minutes,boy_toy_2011
4763,Mexican Sunrise,R,9/20/2012 0:00,Rowdy Stovall,Rowdy Stovall,"Action & Adventure, Drama, Mystery & Suspense",0,76 minutes,mexican-sunrise
4764,Our Wild Hearts,PG,"Dec 31,9999","Rick Schroder, Andrea Schroder","Rick Schroder, Ricky Schroder","Drama, Kids & Family, Western",0,86 minutes,our_wild_hearts_2013
4765,Bounty Killer,R,9/5/2013 0:00,"Jason Netter, Henry Saine, Jason Dodson, Colin Ebeling",Henry Saine,"Action & Adventure, Drama, Mystery & Suspense",0,92 minutes,bounty_killer_2013
4766,Ambushed (Rush),R,"Dec 31,9999",Agustin Fernandez,Giorgio Serafini,"Action & Adventure, Drama, Special Interest",0,97 minutes,ambushed_2013
4767,Full of Grace,NR,"Dec 31,9999",Andrew Hyatt,Andrew Hyatt,Drama,0,83 minutes,full_of_grace
4768,The Challenger,PG-13,9/10/2015 0:00,Kent Moran,Kent Moran,"Action & Adventure, Drama",0,95 minutes,the_challenger
4769,Snowmageddon,PG-13,"Dec 31,9999",Rudy Thauberger,Sheldon Wilson,"Action & Adventure, Drama, Science Fiction & Fantasy",0,90 minutes,snowmageddon
4770,The Watch,R,7/26/2012 0:00,"Seth Rogen, Justin Theroux, Evan Goldberg, Jared Stern",Akiva Schaffer,"Comedy, Science Fiction & Fantasy","$34,100,000.00 ",101 minutes,the_watch_2012
4771,Felt,NR,6/25/2015 0:00,"Jason Banker, Amy Everson",Jason Banker,"Drama, Horror, Mystery & Suspense, Romance",0,79 minutes,felt
4772,I Want to Get Married,NR,"Dec 31,9999",Billy Clift,"William Clift, Billy Clift","Comedy, Drama",0,115 minutes,i_want_to_get_married_2011
4773,These Final Hours,NR,3/5/2015 0:00,Zak Hilditch,Zak Hilditch,Art House & International,0,86 minutes,these_final_hours
4774,A Christmas Tree Miracle,NR,"Dec 31,9999",Ty DeMartino,J.W. Myers,Kids & Family,0,103 minutes,a_christmas_tree_miracle
4775,Lowlife,NR,"Dec 31,9999",NOT_AVAILABLE,Seth Smith,"Art House & International, Drama, Musical & Performing Arts, Science Fiction & Fantasy",0,99 minutes,lowlife_2012
4776,Ginger & Rosa,PG-13,3/14/2013 0:00,Sally Potter,Sally Potter,Drama,"$1,005,700.00 ",89 minutes,ginger_and_rosa
